,Units,FLUEGAS,LEANIN,CLEANGAS,RICHOUT,RICHPUMP,RICHHEAT,COND,CO2OUT,REFLUX,FLUXPUMP,W-MAKEUP,W-MAKEUP,MEAIN,MIX
Description,,,,,,,,,,,,,,,
From,,,COOLER,ABSORBER,ABSORBER,PUMP,HEATER,STRIPPER,FLASHSEP,FLASHSEP,PUMP2,,,,MIXER
To,,ABSORBER,ABSORBER,,PUMP,HEATER,STRIPPER,FLASHSEP,,PUMP2,STRIPPER,MIXER,MIXER,MIXER,COOLER
Stream Class,,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN,CONVEN
Maximum Relative Error,,,,,,,,,,9.63E-05,,,,,
Cost Flow,$/sec,,,,,,,,,,,,,,
MIXED Substream,,,,,,,,,,,,,,,
Phase,,,Liquid Phase,Vapor Phase,Liquid Phase,Liquid Phase,,Vapor Phase,Vapor Phase,Liquid Phase,Liquid Phase,Liquid Phase,Liquid Phase,Liquid Phase,
H2O,kg/sec,11.8655184,305.7370428,38.13513803,270.5281209,273.8591505,274.1381853,4.519653885,0.766663536,3.752488654,3.752488654,27.03602007,27.03602007,0,305.9367709
CO2,kg/sec,48.12177677,1.89E-05,4.70E+00,0.057488978,0.119430054,0.580529842,43.43011604,43.4222009,0.006704298,0.006704298,0,0,0,0.407077536
H3O+,kg/sec,1.90E-06,1.37E-09,0.00E+00,4.43E-08,1.39E-07,6.59E-07,0,0,2.19E-07,2.19E-07,8.60E-08,8.60E-08,0,6.90E-08
OH-,kg/sec,2.84E-11,0.004208415,0,0.000196165,7.01E-05,0.000113374,0,0,7.02E-10,7.03E-10,7.69E-08,7.69E-08,0,0.002286235
HCO3-,kg/sec,6.11E-06,0.304748523,0,23.14591117,18.39307724,19.23568872,0,0,0.001678603,0.001678602,0,0,0,1.171912883
CO3-2,kg/sec,8.79E-12,1.703086171,0,9.030706675,2.609597946,0.851257033,0,0,4.56E-08,4.56E-08,0,0,0,0.191222493
MEAH+,kg/sec,0,82.57070896,0,151.31786,144.5862544,142.1165593,0,0,0.001707585,0.001707584,0,0,0,80.42425041
MEACOO-,kg/sec,0,131.9654826,0,182.8516358,201.9499203,202.4718234,0,0,1.15E-07,1.16E-07,0,0,0,132.1443692
N2,kg/sec,164.3420722,0,164.3402142,0.001857997,0.001857997,0.001857997,0.001858004,0.001857998,6.71E-09,6.71E-09,0.00E+00,0,0,0
O2,kg/sec,9.120727553,0,9.120534717,0.000192836,0.000192836,0.000192836,0.000192838,0.000192836,1.32E-09,1.32E-09,0.00E+00,0,0,0
CO,kg/sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2,kg/sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2S,kg/sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS-,kg/sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-2,kg/sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mass Fractions,,,,,,,,,,,,,,,
Volume Flow,cum/sec,183.5539711,0.564439682,237.6308502,0.516992123,0.536479746,0.555608812,17.99252793,14.57281345,0.003797246,0.003797124,0.027245755,0.027245755,0.000190784,19.25985392
Vapor Phase,,,,,,,,,,,,,,,
Liquid Phase,,,,,,,,,,,,,,,
<add properties>,,,,,,,,,,,,,,,
